25#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10024#appfire##appfire##appfire#3.00#appfire#47.57#appfire#49.08#appfire#707714#appfire#PADVJAS-R#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
26#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10025#appfire##appfire##appfire#2.00#appfire#60.92#appfire#61.82#appfire#700007#appfire#PCNO(R)#appfire#2#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
27#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10026#appfire##appfire##appfire#1.00#appfire#78.47#appfire#84.55#appfire#706124#appfire#ADV-AHO-R#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
28#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10027#appfire##appfire##appfire#1.00#appfire#51.16#appfire#51.30#appfire#707068#appfire#LIVON-CCC#appfire#9#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
29#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10028#appfire##appfire##appfire#1.00#appfire#114.79#appfire#143.48#appfire#707474#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
30#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10029#appfire##appfire##appfire#1.00#appfire#112.38#appfire#143.48#appfire#707778#appfire#LIVON SLP#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
31#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10030#appfire##appfire##appfire#1.00#appfire#25.07#appfire#25.45#appfire#702418#appfire#MALO-NATU#appfire#7#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
32#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10031#appfire##appfire##appfire#6.00#appfire#75.35#appfire#76.38#appfire#706653#appfire#PCNO(R)#appfire#2#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
33#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10032#appfire##appfire##appfire#3.00#appfire#91.38#appfire#92.73#appfire#700007#appfire#PCNO(R)#appfire#2#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
34#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10033#appfire##appfire##appfire#1.00#appfire#114.79#appfire#143.48#appfire#707087#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
